Row.names	degr_mono	degr_mult	betw_mono	betw_mult	clos_mono	clos_mult	eigen_mono	eigen_mult	degr	ndegr	d	betw	wbetw	clos	wclos	withinMdegr	eigen	taxon	body_size_mean	module	included_in_phylogeny	biogeographical_region	number_of_interactions	number_of_articles	botanical_source_method	predicted
45	Tetragonisca_fiebrigi	8	8	145.10661210994	152.80394197306	0.00961538461538462	0.00961538461538462	2.58471093142843e-16	1	8	0.222222222222222	0.37781741658465	0.0322757419641685	0.0973901025116868	0.0188386524822695	0.0140519058273803	1.19207912135854	0.383034105128508	bee	1.145	4	yes	Neotropical	9	1	chem	0.00670504516659559
47	Tetragonula_biroi	2	2	2.1453634085213	1.61904761904762	NA	0.00485436893203883	0.0275033589192122	0.0275033589192122	2	0.0555555555555556	0.251458491864055	0.00944398381438823	0.00068267472873013	0.0155141843971631	0.0103425985778927	-0.377964473009227	0.100700483038164	bee	1.21	7	no	Indo-Malayan-Australasian	2	2	chem	0.00673218806701887
48	Tetragonula_carbonaria	7	6	219.324301529672	204	NA	0.00546448087431694	0.15270975260763	0.15270975260763	6	0.166666666666667	0.564956553173671	0.0355298633883813	0.0226280767506207	0.0178043735224586	0.0129699522488896	0.794719414239026	0.320536935718104	bee	1.109	1	yes	Indo-Malayan-Australasian	25	5	chem_field	0.00669005929329802
49	Tetragonula_collina	4	4	54.0260650811028	67.6274784447579	NA	0.00775193798449612	0.407290681755047	0.407290681755047	4	0.111111111111111	0.0672762139144053	0.031364198906464	0.0308839202799474	0.0206117021276596	0.0148521352929237	0.850876353425194	0.469571260170134	bee	1.38	6	yes	Indo-Malayan-Australasian	19	4	chem_field	0.00680369780669887
50	Tetragonula_fuscobalteata	1	1	0	0	NA	0.00645161290322581	0.169962951690742	0.169962951690742	1	0.0277777777777778	0	0	0	0.0172133569739953	0.00946308648251852	-0.950979453828157	0.155801850650797	bee	1.006	6	yes	Indo-Malayan-Australasian	4	2	chem_field	0.0066473677915882
51	Tetragonula_geissleri	4	4	26.702982055373	31.3049554612055	NA	0.00719424460431655	0.390492306998789	0.390492306998789	4	0.111111111111111	0.200045292796401	0.00575651610477405	0.00278225507932983	0.018395390070922	0.0138105727483576	1.75180425705187	0.367788823163104	bee	1.915	6	yes	Indo-Malayan-Australasian	13	2	chem_field	0.00703373762057875
54	Tetragonula_laeviceps	6	6	124.621697968392	147.323345690257	NA	0.00813008130081301	0.477474617844477	0.477474617844477	6	0.166666666666667	0.100092287094107	0.101521530863392	0.234171654344616	0.0226063829787234	0.0164750027590774	1.75180425705187	0.575726646464581	bee	1.207	6	yes	Indo-Malayan-Australasian	19	6	chem_field	0.00673093290255913
58	Tetragonula_pagdeni	1	1	0	0	NA	0.0048780487804878	0.0301345142426973	0.0301345142426973	1	0.0277777777777778	0.123903912041065	0	0	0.015661938534279	0.00910589260073028	0	0.0713989721656167	bee	0.981	8	yes	Indo-Malayan-Australasian	1	1	chem	0.00663704692941137
61	Tetragonula_sapiens	2	2	39.3957581118572	21.3333333333333	NA	0.00595238095238095	0.0751770538375323	0.0751770538375322	2	0.0555555555555556	0.0879546336896206	0.00839555208350453	0.00037333774227429	0.0177304964539007	0.0117576172867219	-0.471404520791032	0.215844802238194	bee	3.76	1	yes	Indo-Malayan-Australasian	3	3	chem_field	0.00788838103043135
62	Trigona_corvina	1	1	0	0	0.00588235294117647	0.00588235294117647	6.17182578177621e-17	0.0410102044858366	1	0.0277777777777778	0.327268527347274	0	0	0.0136672576832151	0.00784068616508615	-0.377964473009227	0.0288154054102882	bee	2.125	7	yes	Neotropical	1	1	field	0.00712614494867424
63	Trigona_fulviventris	1	1	0	0	0.00588235294117647	0.00588235294117647	5.22948325469293e-17	0.0410102044858366	1	0.0277777777777778	0.327268527347274	0	0	0.0136672576832151	0.00784068616508615	-0.377964473009227	0.0288154054102882	bee	1.36	7	no	Neotropical	1	1	field	0.00679524562666446
65	Trigona_spinipes	2	2	36.6392158280316	37.1748949579832	0.00862068965517241	0.00862068965517241	2.29475938463357e-16	0.264030498679716	2	0.0555555555555556	0.118435979798523	0.0175190889888728	0.00320003779092248	0.0177304964539007	0.0115327832187497	0	0.150704923267951	bee	2.224	1	no	Neotropical	5	3	field	0.00717012850107447
