Row.names	degr_mono	degr_mult	betw_mono	betw_mult	clos_mono	clos_mult	eigen_mono	eigen_mult	degr	ndegr	d	betw	wbetw	clos	wclos	withinMdegr	eigen	taxon	body_size_mean	module	included_in_phylogeny	biogeographical_region	number_of_interactions	number_of_articles	botanical_source_method	predicted	se
24	Melipona_flavolineata	30	30	495.902635851079	601.339173828447	0.00374531835205993	0.00374531835205993	0.754154868259537	0.754154868259536	30	0.297029702970297	0.160812542784343	0.0441745789255568	0.00219434361746384	0.0185590714989598	0.012687420842909	0.0505592446424379	0.735226443663063	bee	2.671	3	yes	Neotropical	74	1	pal	0.328477685576402	0.452718528962953
25	Melipona_mandacaia	15	15	103.449957015302	123.02197910327	0.00319488817891374	0.00319488817891374	0.414107837120806	0.414107837120806	15	0.148514851485149	0.219350209793739	0.00329350949172086	0	0.016095477937151	0.0116234819963775	-1.92125129641265	0.413300759958646	bee	2.708	2	yes	Neotropical	24	1	pal	0.334649985212574	0.185022984834986
26	Melipona_marginata	1	1	0	0	0.00282485875706215	0.00282485875706215	0.0466565281187599	0.0466565281187599	1	0.0099009900990099	0.0550584697978636	0	0	0.0142888426584912	0.00394047509156514	-0.786566506207116	0.0469818031352233	bee	2.299	1	yes	Neotropical	1	1	chem	0.272407755115352	0.452718528962953
28	Melipona_quadrifasciata	28	26	545.279059434366	481.758417288868	0.00336700336700337	0.00336700336700337	0.701267803250442	0.701267803250442	26	0.257425742574257	0.212081543860102	0.0110692316334783	0.0369071052341276	0.0164239570787255	0.0131153628091329	-0.320256307610174	0.698122410957709	bee	3.2105	9	yes	Neotropical	48	9	chem_field_pal	0.430916387298913	0.185022984834986
29	Melipona_scutellaris	4	4	122.235984028701	126.879665600366	0.00303030303030303	0.00303030303030303	0.126464662405218	0.126464662405218	4	0.0396039603960396	0.275621789087889	0.0116135423182389	0	0.0169166757910873	0.007554283956609	1.68549965615811	0.129122899947205	bee	3.912	6	yes	Neotropical	4	3	chem_field	0.613308616904181	0.452718528962953
30	Melipona_seminigra	35	34	672.86710296347	766.654156414139	0.00390625	0.00390625	0.846459964319306	0.846459964319306	34	0.336633663366337	0.172779084795272	0.0629185350875854	0.0108946303042708	0.0187233110697471	0.0128951548540333	0.353914712497067	0.821536514707996	bee	3.02	3	yes	Neotropical	1	1	field	0.391531316326726	0.185022984834986
31	Melipona_subnitida	40	36	924.756012277758	739.219708216648	0.00384615384615385	0.00384615384615385	0.995330722058978	0.995330722058978	36	0.356435643564356	0.179865634377267	0.0629185350875854	0.0645636765024475	0.0187233110697471	0.0132494138181741	0.505592446424381	0.979604272334737	bee	3.05	3	no	Neotropical	84	3	chem_pal	0.397486020955891	0.452718528962953
32	Nannotrigona_testaceicornis	19	19	113.080532986579	148.481903274663	0.00336700336700337	0.00336700336700337	0.547135035047134	0.547135035047134	19	0.188118811881188	0.13496586057661	0.0134469933724735	0.000662556204303891	0.0169166757910873	0.0122847681571419	1.08384674050628	0.539449475261372	bee	1.624	9	yes	Neotropical	23	1	pal	0.193965269725137	0.185022984834986
33	Paratrigona_anduzei	1	1	0	0	0.00256410256410256	0.00256410256410256	0.0258413348519819	0.0258413348519819	1	0.0099009900990099	0.150474759276047	0	0	0.0134676448045549	0.00410053929504278	-0.333333333333333	0.0246201693533183	bee	2	8	no	Neotropical	1	1	chem	0.234360505909988	0.452718528962953
34	Plebeia_droryana	2	2	76.3247688124771	60.0186972760034	0.00279329608938547	0.00279329608938547	0.0541023723648992	0.0541023723648992	2	0.0198019801980198	0.0825102171754066	0.0153860570523803	0	0.0164239570787255	0.00510873603551811	-0.786566506207116	0.0594579324252879	bee	1.476	6	yes	Neotropical	2	1	field	0.180046308836438	0.185022984834986
35	Plebeia_emerina	1	1	0	0	0.00266666666666667	0.00266666666666667	0.0410929889434325	0.0410929889434325	1	0.0099009900990099	0.150474759276047	0	0	0.0130844191393846	0.00391653981436825	-0.521852134317836	0.0432684034679876	bee	1.24	7	no	Neotropical	1	1	field	0.159887837180269	0.452718528962953
36	Plebeia_frontalis	1	1	0	0	0.00266666666666667	0.00266666666666667	0.0410929889434325	0.0410929889434325	1	0.0099009900990099	0.150474759276047	0	0	0.0130844191393846	0.00391653981436825	-0.521852134317836	0.0432684034679876	bee	1.02	7	yes	Neotropical	1	1	field	0.143134004829374	0.185022984834986
37	Plebeia_lucii	1	1	0	0	0.00256410256410256	0.00256410256410256	0.0258413348519819	0.0258413348519819	1	0.0099009900990099	0.150474759276047	0	0	0.0134676448045549	0.00410053929504278	-0.333333333333333	0.0246201693533183	bee	1	8	no	Neotropical	1	1	field	0.141700892617073	0.452718528962953
38	Plebeia_remota	3	3	152.32236095554	160.906352394834	0.00294117647058824	0.00294117647058824	0.100758900483659	0.100758900483659	3	0.0297029702970297	0.056035215863687	0.0230772167043964	0.000398729912319292	0.0170809153618745	0.00666088200511632	0.449466574975495	0.106439735560511	bee	1.865	6	no	Neotropical	3	2	chem_field	0.218970357959103	0.185022984834986
39	Scaptotrigona_bipunctata	2	2	7.11112692587609	16.3001186570368	0.00209643605870021	0.00209643605870021	0.00565012057152547	0.00565012057152543	2	0.0198019801980198	0.426738809090623	0.00134694967294086	0	0.0128654330450016	0.00405099425543012	-0.521852134317836	0.0068832925045884	bee	2.32	6	yes	Neotropical	1	1	chem_field	0.275301270667195	0.452718528962953
40	Scaptotrigona_depilis	1	1	0	0	0.00256410256410256	0.00256410256410256	0.0258413348519819	0.0258413348519818	1	0.0099009900990099	0.150474759276047	0	0	0.0134676448045549	0.00410053929504278	-0.333333333333333	0.0246201693533183	bee	1.71	8	yes	Neotropical	2	2	chem	0.202542419218794	0.185022984834986
42	Scaptotrigona_postica	38	35	688.026828219571	665.463872381487	0.00371747211895911	0.00371747211895911	0.991436105899498	0.991436105899499	35	0.346534653465347	0.150325821483809	0.0400752580056928	0.0568156897562298	0.0177378736450235	0.0133438702800514	0.0505592446424379	0.985795483588071	bee	2.257	3	yes	Neotropical	88	5	chem_pal	0.266711640044875	0.452718528962953
43	Tetragona_clavipes	1	1	0	0	0.0017825311942959	0.0017825311942959	0.000630002001045461	0.000630002001045445	1	0.0099009900990099	0.165020434350813	0	0	0.0122632212854484	0.00376220954339646	-0.889020605402746	0.00239328281263979	bee	1.886	6	yes	Neotropical	2	2	field	0.221296261404396	0.185022984834986
44	Tetragonisca_angustula	44	41	1164.72119532302	932.782321993904	0.00389105058365759	0.00389105058365759	1	1	41	0.405940594059406	0.158316298806082	0.0229515114144218	0.258735840103989	0.0177378736450235	0.0138480538208515	1.12089707663561	1	bee	1.257	9	yes	Neotropical	97	7	chem_field_pal	0.161261289819189	0.452718528962953
45	Tetragonisca_fiebrigi	8	8	86.7888472010325	87.4625525391106	0.00305810397553517	0.00305810397553517	0.241354503460309	0.241354503460309	8	0.0792079207920792	0.227354652665953	0.00635643341847747	0.000483127743760209	0.0162597175079382	0.00987352889133685	-0.11405318970244	0.244332667493225	bee	1.145	4	yes	Neotropical	9	1	chem	0.152425210314867	0.185022984834986
47	Tetragonula_biroi	2	2	0.331182795698925	19.821645021645	NA	0.00355871886120996	5.48977545758694e-17	0.0708673205460964	2	0.0198019801980198	0.118835403379715	0.00189766180955608	0	0.0142340961348954	0.00608659060418855	-0.521852134317836	0.0989651748112175	bee	1.21	7	no	Indo-Malayan-Australasian	2	2	chem	0.157492570946969	0.452718528962953
