Authors,Title,Year,DOI,Link
"Wilson M.B., Pawlus A.D., Brinkman D., Gardner G., Hegeman A.D., Spivak M., Cohen J.D.",3-Acyl dihydroflavonols from poplar resins collected by honey bees are active against the bee pathogens Paenibacillus larvae and Ascosphaera apis,2017,10.1016/j.phytochem.2017.02.020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014119330&doi=10.1016%2fj.phytochem.2017.02.020&partnerID=40&md5=58c4865abda1b65b4c6e9a72aa5eada1
"Arriaga-Osnaya B.J., Contreras-Garduño J., Espinosa-García F.J., García-Rodríguez Y.M., Moreno-García M., Lanz-Mendoza H., Godínez-Álvarez H., Cueva del Castillo R.",Are body size and volatile blends honest signals in orchid bees?,2017,10.1002/ece3.2903,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017149188&doi=10.1002%2fece3.2903&partnerID=40&md5=8cf3d11c5c52449e643eb2f353d653d7
"Kaluza B.F., Wallace H., Keller A., Heard T.A., Jeffers B., Drescher N., Blüthgen N., Leonhardt S.D.",Generalist social bees maximize diversity intake in plant species-rich and resource-abundant environments,2017,10.1002/ecs2.1758,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017498657&doi=10.1002%2fecs2.1758&partnerID=40&md5=17ad157d1218774cf75a3dac6cc1127d
"Selden P.A., Penney D.",Imaging techniques in the study of fossil spiders,2017,10.1016/j.earscirev.2017.01.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010426708&doi=10.1016%2fj.earscirev.2017.01.007&partnerID=40&md5=f145b9e8161b2e5c555160e11b8b97f8
"Ferreira J.M., Fernandes-Silva C.C., Salatino A., Message D., Negri G.",Antioxidant Activity of a Geopropolis from Northeast Brazil: Chemical Characterization and Likely Botanical Origin,2017,10.1155/2017/4024721,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042219201&doi=10.1155%2f2017%2f4024721&partnerID=40&md5=b83dd45c3821bd61fbb69c2944942640
"Aminimoghadamfarouj N., Nematollahi A.",Structure Elucidation and Botanical Characterization of Diterpenes from a Specific Type of Bee Glue,2017,10.3390/molecules22071185,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042106314&doi=10.3390%2fmolecules22071185&partnerID=40&md5=5fd2463969810e4e3c4b2a88cdd08aca
"Del Río Del Rosal E., Virginia C.A., Gómez Turpín E.M., José G.G., Roberto A.D., Figueroa F.L.",Study on the antioxidant and antitumoral activity of propolis,2017,10.4321/S2340-98942017000200005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026640772&doi=10.4321%2fS2340-98942017000200005&partnerID=40&md5=d474b9bfee025396f9605cecc0386121
"Carneiro M.J., López B.G.C., Lancellotti M., Franchi G.C., Nowill A.E., Sawaya A.C.H.F.",Evaluation of the chemical composition and biological activity of extracts of Tetragonisca angustula propolis and Schinus terebinthifolius Raddi (Anacardiaceae) [Evaluación de la composición química y la actividad biológica de los extractos de propóleos de Tetragonisca angustula y Schinus terebinthifolius Raddi (Anacardiaceae)],2016,10.1080/00218839.2016.1243295,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995598559&doi=10.1080%2f00218839.2016.1243295&partnerID=40&md5=c15e7a824b64edb5e52b2b30754232b1
"Ribeiro M.H.M., de Albuquerque P.M.C., da Luz C.F.P.","Pollen profile of Geopropolis samples collected of “Tiúba” (Melipona (Melikerria) fasciculata Smith 1854) in areas of Cerrado and flooded fields in the state of Maranhão, Brazil",2016,10.1007/s40415-016-0280-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987677665&doi=10.1007%2fs40415-016-0280-0&partnerID=40&md5=f2b6728d853f8597785778ff38e59cfa
"Isidorov V.A., Bakier S., Pirożnikow E., Zambrzycka M., Swiecicka I.",Selective Behaviour of Honeybees in Acquiring European Propolis Plant Precursors,2016,10.1007/s10886-016-0708-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974794896&doi=10.1007%2fs10886-016-0708-9&partnerID=40&md5=3dcf59baa6ca447161f50544205a2d6d
Sforcin J.M.,Biological Properties and Therapeutic Applications of Propolis,2016,10.1002/ptr.5605,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960981911&doi=10.1002%2fptr.5605&partnerID=40&md5=6438a145638db3e0853afc443abed93b
Shashikala A.,GC-MS analysis of phytocomponents in the methanolic extract of Propolis of stingless Bee,2016,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068101150&partnerID=40&md5=ece7d454e521488fafb1063eab59acf8
"Skoskiewicz-Malinowska K., Kaczmarek U., Malicka B., Walczak K., Zietek M.",Application of chitosan and propolis in endodontic treatment: A review,2016,10.2174/1389557516666160418122510,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010645023&doi=10.2174%2f1389557516666160418122510&partnerID=40&md5=592257f7c761db0c7c2fcad590fdb0a7
"Saddiq A.A., Abouwarda A.M.",Effect of propolis extracts against methicillin-resistant Staphylococcus aureus,2015,10.3233/MGC-150185,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948733483&doi=10.3233%2fMGC-150185&partnerID=40&md5=16778ff7759b278da065a0105562f6c7
"Cardozo D.V., Mokochinski J.B., Machado C.S., Sawaya A.C.H.F., Caetano I.K., Felsner M.L., Torres Y.R.","Chemical variability of geopropolis from Jataí, Mandaçaia and mandurí stingless bees [Variabilidade química de geoprópolis produzida pelas abelhas sem ferrão jataí, mandaçaia e mandurí]",2015,10.5935/1984-6835.20150146,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953774659&doi=10.5935%2f1984-6835.20150146&partnerID=40&md5=51854b71ed6c2121e0064eb5aff7a1e5
"Suleman T., van Vuuren S., Sandasi M., Viljoen A.M.",Antimicrobial activity and chemometric modelling of South African propolis,2015,10.1111/jam.12906,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942094190&doi=10.1111%2fjam.12906&partnerID=40&md5=7fd965540e1ef2feec320d5e77794edc
